ProviderNumber varchar(255),HospitalName varchar(255),Address1 varchar(255),Address2 varchar(255),Address3 varchar(255),City varchar(255),State varchar(255),ZIPCode varchar(255),CountryName varchar(255),PhoneNumber varchar(255),HospitalType varchar(255),HospitalOwner varchar(255),EmergencyService varchar(255),Condition varchar(255),MeasureCode varchar(255),MeasureName varchar(255),Score varchar(255),Sample varchar(255),StateAvg varchar(255)
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,,,DOTHAN,AL,36305,HOUSTON,3347935000typo,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,100%,497 patients,AL_SCIP-VTE-2
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,,,CLANTON,AL,35045,CHILTON,2057552500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,4 patients,AL_SCIP-INF-2
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,,,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,Proprietary,Yes,Heart Attacktypo,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,100%,125 patients,AL_AMI-5
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,,,DOTHAN,AL,36305typo,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,100%,62 patients,AL_HF-4
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,,,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,91%,129 patients,AL_PN-3B
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,,,THOMASVILLE,AL,36784,CLARKE,3346366221,Acute Care Hospitals,Government - Federal,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,,0 patients,AL_AMI-7A
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,87%,86 patients,AL_PN-7
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,,,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),100%,53 patients,AL_AMI-3
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,,,ENTERPRISE,ALtypo,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,96%,70 patients,AL_HF-1
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,,,OZARK,AL,36360,DALE,3347742601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),,0 patients,AL_AMI-3
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,,,FORT PAYNE,AL,35968typo,DE KALB,2568453150,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumoniatypo,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),88%,82 patients,AL_PN-6
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,,,GEORGIANAtypo,ALtypo,36033,BUTLER,3343762205,Acute Care Hospitals,Voluntary non-profit - Private,No,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,90%,39 patients,AL_PN-2
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,,,BIRMINGHAM,AL,35233,JEFFERSON,2053258100typo,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,,,AL_SCIP-CARD-2
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,,,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1typo,Heart Attack Patients Given Aspirin at Arrival,98%,155 patients,AL_AMI-1
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,,,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,88%,233 patients,AL_PN-5C
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Acute Care Hospitals,Government - State,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,98%,229 patients,AL_AMI-1
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,,,FLORENCE,AL,35631,LAUDERDALE,2567688400typo,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,99%,462 patients,AL_SCIP-INF-2
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,,,OZARK,AL,36360,DALE,3347742601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),64%,59 patients,AL_PN-6typo
10056,ST VINCENTS HOSPITAL,810 ST VINCENTS DRIVE,,,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,96%,242 patients,AL_AMI-5
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,,,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,100%,1 patients,AL_SCIP-CARD-2
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,,,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),100%,485 patients,AL_SCIP-INF-6typo
10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,,,GUNTERSVILLE,AL,35976,MARSHALL,2565718000typo,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,100%,6 patients,AL_AMI-2
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,,,MONTGOMERY,AL,36116typo,MONTGOMERY,3342882100typo,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,100%,257 patients,AL_HF-1
10025,G H LANIER MEMORIAL HOSPITAL,4800 48TH ST,,,VALLEY,AL,36854,CHAMBERS,3347561400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,75%,60 patients,AL_PN-7
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,,,ANDALUSIA,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,Proprietary,No,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,AL_SCIP-INF-4
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,,,OPP,AL,36467,COVINGTON,3344933541,Acute Care Hospitals,Voluntary non-profit - Private,No,Surgical Infection Preventiontypo,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgerytypo,,0 patients,AL_SCIP-INF-4
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,,BIRMINGHAM,ALtypo,35233,JEFFERSON,2059344011,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,69%,94 patients,AL_SCIP-CARD-2
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,,,CULLMAN,AL,35058typo,CULLMAN,2567372000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-5Ctypo,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,99%,160 patients,AL_PN-5C
10011,ST VINCENT-S EAST,50 MEDICAL PARK EAST DRIVE,,,BIRMINGHAM,AL,35235typo,JEFFERSON,2058383122,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,89%,229 patients,AL_SCIP-VTE-1
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,,,ALABASTER,AL,35007typo,SHELBY,2056208100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,86%,210 patients,AL_HF-1
10050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,,,ONEONTA,AL,35121typo,BLOUNT,2052743000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,98%,105 patients,AL_PN-5C
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,,,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,,,AL_PN-5C
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,,,ANDALUSIA,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,Proprietary,No,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,100%,8 patients,AL_AMI-1
10018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,,,BIRMINGHAM,AL,35233,JEFFERSON,2053258100typo,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),,,AL_SCIP-INF-6
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,,,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,AL_SCIP-INF-4
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,,,ANCHORAGE,AK,99508typo,ANCHORAGE,9072761131,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,94%,223 patients,AK_SCIP-VTE-2
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,,,LUVERNE,AL,36049,CRENSHAW,3343353374typo,Acute Care Hospitals,Government - Federal,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,100%,1 patients,AL_AMI-2
10015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,,,THOMASVILLE,AL,36784,CLARKE,3346366221,Acute Care Hospitals,Government - Federal,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,,0 patients,AL_AMI-4
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,,,MOBILE,ALtypo,36617,MOBILE,2514717110typo,Acute Care Hospitals,Government - State,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,99%,86 patients,AL_AMI-1
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-2typo,Heart Attack Patients Given Aspirin at Discharge,100%,12 patients,AL_AMI-2
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,,,ANCHORAGE,AK,99508,ANCHORAGE,9072761131typo,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),95%,22 patients,AK_PN-6
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,,,WEDOWEEtypo,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,Government - Local,No,Pneumonia,PN-5Ctypo,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,90%,30 patients,AL_PN-5C
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,,,CENTRE,AL,35960,CHEROKEE,2569275531,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),0%,1 patients,AL_SCIP-INF-3
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,,,ELBA,AL,36323,COFFEE,3348972257,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeriestypo,,,AL_SCIP-VTE-1typo
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,,,ALABASTER,AL,35007,SHELBY,2056208100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-1typo,Heart Attack Patients Given Aspirin at Arrival,99%,179 patients,AL_AMI-1typo
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Acute Care Hospitals,Government - State,Yes,Pneumonia,PN-2typo,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,74%,247 patients,AL_PN-2
10011,ST VINCENT-S EAST,50 MEDICAL PARK EAST DRIVE,,,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,98%,372 patients,AL_HF-2
10027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,,,ELBA,AL,36323,COFFEE,3348972257,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,,,AL_AMI-8A
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,,,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),78%,18 patients,AL_HF-3
10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,,,SHEFFIELD,AL,35660typo,JEFFERSON,2563864556typo,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),75%,4 patients,AL_AMI-3
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,,,MOBILE,AL,36617,MOBILE,2514717110,Acute Care Hospitals,Government - State,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,50%,16 patients,AL_AMI-8A
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,,,MOBILE,AL,36617,MOBILE,2514717110typo,Acute Care Hospitals,Government - State,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,,0 patients,AL_AMI-7A
10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,,,BOAZ,AL,35957,MARSHALL,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,97%,120 patients,AL_PN-3B
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,,,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,97%,89 patients,AL_SCIP-CARD-2
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,,,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),85%,146 patients,AL_HF-3
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,,,LUVERNE,AL,36049,CRENSHAW,3343353374typo,Acute Care Hospitals,Government - Federal,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,100%,4 patients,AL_SCIP-VTE-1
10022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,,,CENTRE,AL,35960,CHEROKEE,2569275531,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),90%,10 patients,AL_HF-3
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,,,HUNTSVILLE,AL,35801typo,MADISON,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),93%,561 patients,AL_SCIP-INF-3
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,,,TALLASSEEtypo,AL,36078,ELMORE,3342836541,Acute Care Hospitals,Voluntary non-profit - Private,No,Surgical Infection Prevention,SCIP-VTE-2typo,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,88%,24 patients,AL_SCIP-VTE-2
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,,,OZARK,ALtypo,36360,DALE,3347742601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attacktypo,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,,0 patients,AL_AMI-8A
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,,,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,Proprietary,Yes,Pneumoniatypo,PN-3Btypo,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,96%,187 patients,AL_PN-3B
10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,,,TALLASSEE,ALtypo,36078,ELMORE,3342836541,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Failuretypo,HF-1,Heart Failure Patients Given Discharge Instructions,88%,65 patients,AL_HF-1
10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,,,ANDALUSIA,ALtypo,36420,COVINGTON,3342228466,Acute Care Hospitals,Proprietary,No,Heart Attacktypo,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,,0 patients,AL_AMI-8Atypo
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,,,GADSDENtypo,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Functiontypo,100%,350 patients,AL_HF-2
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,,,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,Voluntary non-profit - Private,No,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),50%,30 patients,AL_PN-6
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,,,DOTHANtypo,AL,36305,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgerytypo,100%,147 patients,AL_SCIP-CARD-2
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,,,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),100%,575 patients,AL_SCIP-INF-6
10009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,,,HARTSELLE,AL,35640,MORGAN,2567736511,Acute Care Hospitals,Proprietary,Yes,Heart Failuretypo,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),100%,10 patients,AL_HF-3
10047,GEORGIANA HOSPITAL,515 MIRANDA ST,,,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-1typo,Heart Attack Patients Given Aspirin at Arrival,53%,19 patients,AL_AMI-1
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,,,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Acute Care Hospitals,Government - State,Yes,Heart Attacktypo,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,97%,331 patients,AL_AMI-5
10043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,,,CLANTON,AL,35045,CHILTON,2057552500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),100%,1 patients,AL_AMI-3typo
10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,,,GUNTERSVILLE,AL,35976,MARSHALL,2565718000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attacktypo,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,,0 patients,AL_AMI-7Atypo
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,,,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,100%,67 patients,AL_PN-4
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-4typo,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,AL_SCIP-INF-4
