ProviderNumber varchar(255),HospitalName varchar(255),Address1 varchar(255),Address2 varchar(255),Address3 varchar(255),City varchar(255),State varchar(255),ZIPCode varchar(255),CountryName varchar(255),PhoneNumber varchar(255),HospitalType varchar(255),HospitalOwner varchar(255),EmergencyService varchar(255),Condition varchar(255),MeasureCode varchar(255),MeasureName varchar(255),Score varchar(255),Sample varchar(255),StateAvg varchar(255)
40147,ARKANSAS SURGICAL HOSPITAL,5201 NORTH SHORE DRIVE,,,NO LITTLE ROCKtypo,AR,72118,PULASKI,5017488000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,0 patients,AR_SCIP-INF-4
30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,,,TUCSON,AZ,85741,PIMA,5207429000,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-2typo,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Functiontypo,100%,268 patients,AZ_HF-2
30108,SURGICAL SPECIALTY HOSPITAL OF ARIZONA,6501 NORTH 19TH AVENUE,,,PHOENIX,AZ,85015,MARICOPA,6027956020,Acute Care Hospitals,Proprietary,No,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,104 patients,AZ_SCIP-INF-2
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,,,BREWTON,AL,36426,ESCAMBIA,2518678061,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,70%,10 patients,AL_SCIP-CARD-2
50131,NOVATO COMMUNITY HOSPITAL,180 ROWLAND WAY,,,NOVATO,CA,94945,MARIN,4152091300,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,100%,5 patients,CA_HF-4
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,,,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failuretypo,HF-1,Heart Failure Patients Given Discharge Instructions,64%,247 patients,AL_HF-1
30110,WEST VALLEY HOSPITAL,13677 WEST MCDOWELL ROAD,,,GOODYEAR,AZ,85338,MARICOPA,6238821500,Acute Care Hospitals,Government - State,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,73%,128 patients,AZ_HF-1
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,,,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,70%,10 patients,AL_SCIP-VTE-1
50159,VENTURA COUNTY MEDICAL CENTER,3291 LOMA VISTA RD,,,VENTURA,CA,93003,VENTURA,8056526075,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,91%,65 patients,CA_PN-2
50211,ALAMEDA HOSPITAL,2070 CLINTON AVE,,,ALAMEDA,CAtypo,94501,ALAMEDA,5105223700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,,0 patients,CA_AMI-8A
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,,,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,47%,211 patients,AL_HF-1
50058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,,,GLENDALE,CA,91204,LOS ANGELES,8185021900,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,100%,74 patients,CA_AMI-4typo
50158,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BLVD,,,ENCINO,CA,91436,LOS ANGELES,8189955000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,,0 patients,CA_AMI-8A
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,,,PRESCOTT,AZ,86313,YAVAPAI,9284454860,Acute Care - VA Medical Center,Government Federal,No,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,100%,6 patients,AZ_HF-4
50076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,,,SAN FRANCISCO,CA,94115typo,SAN FRANCISCO,4158332646,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-3typo,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),97%,494 patients,CA_SCIP-INF-3
30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,,,GILBERT,AZ,85234typo,MARICOPA,4805432000typo,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),100%,353 patients,AZ_SCIP-INF-6
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,,,GLENDALE,AZ,85306,MARICOPA,6028655555,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),100%,543 patients,AZ_SCIP-INF-6
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,,,MONROEVILLE,AL,36461,MONROE,2515753111,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,,0 patients,AL_AMI-7A
40047,FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,,,POCAHONTAS,AR,72455,RANDOLPH,8708926000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-7typo,Pneumonia Patients Assessed and Given Influenza Vaccination,92%,66 patients,AR_PN-7
10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,,,ATHENS,AL,35611,LIMESTONE,2562339292,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,100%,8 patients,AL_AMI-5
10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,,,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,Acute Care Hospitals,Proprietary,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,93%,442 patients,AL_SCIP-VTE-2
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,,,YORK,ALtypo,36925,SUMTER,2053925263,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),,,AL_SCIP-INF-3
50014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,,,JACKSON,CAtypo,95642,AMADOR,2092237500,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),92%,51 patients,CA_PN-6
40051,DREW MEMORIAL HOSPITAL,778 SCOGIN DRIVE,,,MONTICELLO,ARtypo,71655,DREW,8703672411,Acute Care Hospitals,Government - Local,No,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,100%,24 patients,AR_PN-4
50192,SIERRA KINGS DISTRICT HOSPITAL,372 W CYPRESS AVE,,,REEDLEY,CA,93654,FRESNO,5596388155,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),75%,4 patients,CA_HF-3
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,,,GLENDALE,AZ,85306,MARICOPA,6028655555,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,100%,233 patients,AZ_AMI-5
10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,,,MOBILE,AL,36617,MOBILE,2514717110,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-CARD-2typo,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,100%,23 patients,AL_SCIP-CARD-2typo
50063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,,,LOS ANGELES,CA,90028,LOS ANGELES,2134133000,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,93%,324 patients,CA_HF-1
40041,ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,,,RUSSELLVILLE,ARtypo,72801,POPE,4799682841,Acute Care Hospitals,Proprietary,Yes,Heart Failuretypo,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),90%,41 patients,AR_HF-3
41316,SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,,,OSCEOLA,AR,72370typo,MISSISSIPPI,8705637000,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-INF-2typo,surgery patients who were given the  right kind  of antibiotic to help prevent infection,,,AR_SCIP-INF-2
10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,,,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,100%,59 patients,AL_PN-4
50107,MARIAN MEDICAL CENTER,1400 E CHURCH ST,,,SANTA MARIA,CA,93454,SANTA BARBARA,8057393000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,81%,16 patients,CA_AMI-8A
30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,,,TUCSON,AZ,85741,PIMA,5207429000,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-1typo,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,1574 patients,AZ_SCIP-INF-1
40017,NORTH ARKANSAS REGIONAL MED CTR,620 NORTH MAIN STREET,,,HARRISON,AR,72601,BOONE,8704144000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-4typo,Pneumonia Patients Given Smoking Cessation Advice/Counseling,98%,55 patients,AR_PN-4typo
41317,DALLAS COUNTY MEDICAL CENTER,201 CLIFTON STREET,,,FORDYCEtypo,AR,71742,DALLAS,8703526300,Critical Access Hospitals,Government - Local,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,83%,6 patients,AR_PN-3B
50222,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,,,CHULA VISTA,CA,91911,SAN DIEGO,6195025800,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),86%,190 patients,CA_HF-3
40069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,,,BLYTHEVILLE,AR,72315,MISSISSIPPI,8708387300typo,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),,0 patients,AR_AMI-3
50025,UNIV OF CALIFORNIA SAN DIEGO MED CTR,200 WEST ARBOR DRIVE,,,SAN DIEGO,CA,92103,SAN DIEGO,6195436737,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),100%,541 patients,CA_SCIP-INF-6
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,,,PALMER,AK,99645,MATANUSKA SUSITNA,9077468600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0%,2 patients,AK_AMI-7A
30102,ARIZONA HEART HOSPITAL,1930 EAST THOMAS ROAD,,,PHOENIX,AZ,85016,MARICOPA,6025321000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,99%,369 patients,AZ_AMI-5
41305,MERCY HOSPITAL SCOTT COUNTY,1341 WEST SIXTH STREET,,,WALDRON,AR,72958,SCOTT,4796374135,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Heart Attacktypo,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,100%,1 patients,AR_AMI-4
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,,,EUTAW,AL,35462,GREENE,2053723388,Acute Care Hospitals,Government - Local,No,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infectiontypo,,,AL_SCIP-INF-2
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,9601 INTERSTATE 630; EXIT 7,,,LITTLE ROCK,AR,72205,PULASKI,5012022000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),96%,348 patients,AR_HF-3
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,,,GROVE HILL,AL,36451,CLARKE,2512753191,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,,0 patients,AL_AMI-1
50047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,2333 BUCHANAN STREET,,,SAN FRANCISCO,CA,94115,SAN FRANCISCO,4156006000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,98%,201 patients,CA_PN-3B
50118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH ST,,,MANTECA,CA,95336typo,SAN JOAQUIN,2098233111,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,94%,90 patients,CA_SCIP-INF-1
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,,,WINFIELDtypo,AL,35594,MARION,2054877736,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,91%,66 patients,AL_PN-2
40016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET SLOT 557,,,LITTLE ROCKtypo,ARtypo,72205typo,PULASKI,5016865000,Acute Care Hospitals,Government - State,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,100%,103 patients,AR_HF-4
50194,WATSONVILLE COMMUNITY HOSPITAL,75 NIELSON STREET,,,WATSONVILLE,CA,95076,SANTA CRUZ,8317244741,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,87%,112 patients,CA_SCIP-VTE-2
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,,,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,Acute Care Hospitals,Government - Federal,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,79%,19 patients,AK_AMI-5
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,,,FOLEY,AL,36535,BALDWIN,2519523400,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,100%,108 patients,AL_PN-2
31314,COBRE VALLEY COMMUNITY HOSPITAL,5880 SOUTH HOSPITAL DRIVE,,,GLOBE,AZ,85501,GILA,9284253261,Critical Access Hospitals,Proprietary,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,91%,11 patients,AZ_HF-4typo
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,,,LUVERNE,AL,36049,CRENSHAW,3343353374typo,Acute Care Hospitals,Government - Federal,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,100%,2 patients,AL_SCIP-INF-2
43300,ARKANSAS CHILDREN-S HOSPITAL,800 MARSHALL STREET SLOT 301,,,LITTLE ROCK,AR,72202,PULASKI,5013641100,Childrens,Voluntary non-profit - Private,Yes,Children&#8217;s Asthma Care,CAC-2,Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma,100%,118 patients,AR_CAC-2
41314,DE WITT HOSPITAL & NURSING HOME; INC,1641 WHITEHEAD DRIVE,,,DE WITT,AR,72042,ARKANSAS,8709463571,Critical Access Hospitals,Voluntary non-profit - Private,No,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),83%,12 patients,AR_PN-6
21313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,,,HOMER,AK,99603,KENAI PENINSULA,9072358101,Critical Access Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,0 patients,AK_SCIP-VTE-2typo
10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,,,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,82%,251 patients,AL_SCIP-VTE-2
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,,,GENEVA,AL,36340,GENEVA,3346843655,Acute Care Hospitals,Government - Hospital District or Authority,No,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,92%,38 patients,AL_HF-1
